Site Name,Lat,Long,Pre-Sanctions,Post Sanctions
Jose Oil Terminal (Puerto José),10.1016153,-64.87805,857,386
Amuay Bay,11.7479122,-70.217485,452,327
El Palito ,10.4986303,-68.131036,250,187
Pamatacual Port,10.2410513,-64.633797,370,167
Punta Cardon,11.6210582,-70.238162,325,148
Bajo Grande (oil),10.5077423,-71.611196,177,111
Carenero Distribution Plant,10.5458843,-66.067687,116,65
Puerto Miranda,10.7555636,-71.5493563,38,47
El Guamache,10.8614973,-64.027613,69,47
Puerto Cabello,10.4859905,-67.9874085,64,30
La Salina,10.3689098,-71.4650614,69,24
Puerto Sucre,10.4730053,-64.194194,17,19
La Guaira,10.5978006,-66.9489953,8,14
Güiria,10.5663537,-62.2968125,7,9
Ciudad Ojeda,10.1976663,-71.3447812,81,2
La Gabarra del Lago de Maracaibo,9.8169945,-71.2232469,50,1
El Tablazo,10.7530203,-71.556203,25,6
Bajo Grande (gas),10.4880561,-71.6220444,22,3
Bachaquero,9.9437813,-71.158812,3,
Bauxilum,8.3087128,-62.818071,3,3
Punta Piedras,10.5998223,-71.610098,1,
Puerto de la Cruz Port,10.2069431,-64.6654204,1,
Punta de Palmas,10.436313,-71.6445538,1,
